Channel,X,Y,Z
number,UTM [m],UTM [m],UTM [m]
281,558360.2191,123207.0064,-2309
282,558357.189,123211.1116,-2309
283,558354.159,123215.2168,-2309
284,558351.1289,123219.322,-2309
285,558348.0989,123223.4273,-2309
286,558345.0688,123227.5325,-2309
287,558342.0388,123231.6377,-2309
288,558339.0087,123235.7429,-2309
289,558335.9787,123239.8482,-2309
290,558332.9486,123243.9534,-2309
291,558329.9186,123248.0586,-2309
292,558326.8885,123252.1639,-2309
293,558323.8585,123256.2691,-2309
294,558320.8284,123260.3743,-2309
295,558317.7984,123264.4795,-2309
296,558314.7683,123268.5848,-2309
297,558311.7383,123272.69,-2309
298,558308.7082,123276.7952,-2309
299,558305.6782,123280.9005,-2309
300,558302.6481,123285.0057,-2309
301,558299.6181,123289.1109,-2309
302,558296.588,123293.2161,-2309
303,558293.558,123297.3214,-2309
304,558290.5279,123301.4266,-2309
305,558287.4979,123305.5318,-2309
306,558284.4678,123309.6371,-2309
307,558281.4378,123313.7423,-2309
308,558278.4077,123317.8475,-2309
309,558275.3777,123321.9527,-2309
310,558272.3476,123326.058,-2309
311,558269.3176,123330.1632,-2309
312,558266.2875,123334.2684,-2309
313,558263.2575,123338.3737,-2309
314,558260.2274,123342.4789,-2309
315,558257.1974,123346.5841,-2309
316,558254.1673,123350.6893,-2309
317,558251.1373,123354.7946,-2309
318,558248.1072,123358.8998,-2309
319,558245.0772,123363.005,-2309
320,558242.0471,123367.1103,-2309
321,558239.0171,123371.2155,-2309
322,558235.987,123375.3207,-2309
323,558232.957,123379.4259,-2309
324,558229.9269,123383.5312,-2309
325,558226.8969,123387.6364,-2309
326,558223.8668,123391.7416,-2309
327,558220.8368,123395.8469,-2309
328,558217.8067,123399.9521,-2309
329,558214.7767,123404.0573,-2309
330,558211.7466,123408.1625,-2309
331,558208.7166,123412.2678,-2309
332,558205.6865,123416.373,-2309
333,558202.6565,123420.4782,-2309
334,558199.6264,123424.5835,-2309
335,558196.5964,123428.6887,-2309
336,558193.5663,123432.7939,-2309
337,558190.5363,123436.8991,-2309
338,558187.5062,123441.0044,-2309
339,558184.4762,123445.1096,-2309
340,558181.4461,123449.2148,-2309
341,558178.4161,123453.32,-2309
342,558175.386,123457.4253,-2309
343,558172.356,123461.5305,-2309
344,558169.3259,123465.6357,-2309
345,558166.2959,123469.741,-2309
346,558163.2658,123473.8462,-2309
347,558160.2358,123477.9514,-2309
348,558157.2057,123482.0566,-2309
349,558154.1757,123486.1619,-2309
350,558151.1456,123490.2671,-2309
351,558148.1156,123494.3723,-2309
352,558145.0855,123498.4776,-2309
353,558142.0555,123502.5828,-2309
354,558139.0255,123506.688,-2309
355,558135.9954,123510.7932,-2309
356,558132.9654,123514.8985,-2309
357,558129.9353,123519.0037,-2309
358,558126.9053,123523.1089,-2309
359,558123.8752,123527.2142,-2309
360,558120.8452,123531.3194,-2309
361,558117.8151,123535.4246,-2309
362,558114.7851,123539.5298,-2309
363,558111.755,123543.6351,-2309
364,558108.725,123547.7403,-2309
365,558105.6949,123551.8455,-2309
366,558102.6649,123555.9508,-2309
367,558099.6348,123560.056,-2309
368,558096.6048,123564.1612,-2309
369,558093.5747,123568.2664,-2309
370,558090.5447,123572.3717,-2309
371,558087.5146,123576.4769,-2309
372,558084.4846,123580.5821,-2309
373,558081.4545,123584.6874,-2309
374,558078.4245,123588.7926,-2309
375,558075.3944,123592.8978,-2309
376,558072.3644,123597.003,-2309
377,558069.3343,123601.1083,-2309
378,558066.3043,123605.2135,-2309
379,558063.2742,123609.3187,-2309
380,558060.2442,123613.424,-2309
,,,
